Time,pH,Temp,Dev 0 Stat,Dev 1 Stat
2019-06-07 18:18:55.624368,6.79,,Connected,trying...
2019-06-07 18:18:55.624368,6.79,,Connected,trying...
2019-06-07 18:18:55.624368,6.79,,Connected,trying...
2019-06-07 18:18:55.640998,6.79,,Connected,trying...
2019-06-07 18:18:55.640998,6.79,,Connected,trying...
2019-06-07 18:18:55.640998,6.79,,Connected,trying...
2019-06-07 18:18:55.640998,6.79,,Connected,trying...
2019-06-07 18:18:55.657632,6.79,,Connected,trying...
2019-06-07 18:18:55.657632,6.79,,Connected,trying...
2019-06-07 18:18:55.665143,6.79,,Connected,trying...
2019-06-07 18:18:55.665143,6.79,,Connected,trying...
2019-06-07 18:18:55.674151,6.79,,Connected,trying...
2019-06-07 18:18:55.674151,6.79,,Connected,trying...
2019-06-07 18:18:55.674151,6.79,,Connected,trying...
2019-06-07 18:18:55.690781,6.79,,Connected,trying...
2019-06-07 18:18:55.690781,6.79,,Connected,trying...
2019-06-07 18:18:55.690781,6.79,,Connected,trying...
2019-06-07 18:18:55.706406,6.79,,Connected,trying...
2019-06-07 18:18:55.707913,6.79,,Connected,trying...
2019-06-07 18:18:55.707913,6.79,,Connected,trying...
2019-06-07 18:18:55.707913,6.79,,Connected,trying...
2019-06-07 18:18:55.724559,6.79,,Connected,trying...
2019-06-07 18:18:55.724559,6.79,,Connected,trying...
2019-06-07 18:18:55.724559,6.79,,Connected,trying...
2019-06-07 18:18:55.741189,6.79,,Connected,trying...
2019-06-07 18:18:55.741189,6.79,,Connected,trying...
2019-06-07 18:18:55.741189,6.79,,Connected,trying...
2019-06-07 18:18:55.741189,6.79,,Connected,trying...
2019-06-07 18:18:55.757825,6.79,,Connected,trying...
2019-06-07 18:18:55.765335,6.79,,Connected,trying...
2019-06-07 18:18:55.765335,6.79,,Connected,trying...
2019-06-07 18:18:55.774340,6.79,,Connected,trying...
2019-06-07 18:18:55.774340,6.79,,Connected,trying...
2019-06-07 18:18:55.774340,6.79,,Connected,trying...
2019-06-07 18:18:55.789966,6.79,,Connected,trying...
2019-06-07 18:18:55.790972,6.79,,Connected,trying...
2019-06-07 18:18:55.790972,6.79,,Connected,trying...
2019-06-07 18:18:55.790972,6.79,,Connected,trying...
2019-06-07 18:18:55.807604,6.79,,Connected,trying...
2019-06-07 18:18:55.807604,6.79,,Connected,trying...
2019-06-07 18:18:55.807604,6.79,,Connected,trying...
2019-06-07 18:18:55.824234,6.79,,Connected,trying...
2019-06-07 18:18:55.824234,6.79,,Connected,trying...
2019-06-07 18:18:55.824234,6.79,,Connected,trying...
2019-06-07 18:18:55.824234,6.79,,Connected,trying...
2019-06-07 18:18:55.840866,6.79,,Connected,trying...
2019-06-07 18:18:55.840866,6.79,,Connected,trying...
2019-06-07 18:18:55.840866,6.79,,Connected,trying...
2019-06-07 18:18:55.857500,6.79,,Connected,trying...
2019-06-07 18:18:55.857500,6.79,,Connected,trying...
2019-06-07 18:18:55.865512,6.79,,Connected,trying...
2019-06-07 18:18:55.865512,6.79,,Connected,trying...
2019-06-07 18:18:55.874517,6.79,,Connected,trying...
2019-06-07 18:18:55.874517,6.79,,Connected,trying...
2019-06-07 18:18:55.874517,6.79,,Connected,trying...
2019-06-07 18:18:55.891148,6.79,,Connected,trying...
2019-06-07 18:18:55.891148,6.79,,Connected,trying...
2019-06-07 18:18:55.891148,6.79,,Connected,trying...
2019-06-07 18:18:55.891148,6.79,,Connected,trying...
2019-06-07 18:18:55.907779,6.79,,Connected,trying...
2019-06-07 18:18:55.907779,6.79,,Connected,trying...
2019-06-07 18:18:55.907779,6.79,,Connected,trying...
2019-06-07 18:18:55.923403,6.79,,Connected,trying...
2019-06-07 18:18:55.924409,6.79,,Connected,trying...
2019-06-07 18:18:55.924409,6.79,,Connected,trying...
2019-06-07 18:18:55.924409,6.79,,Connected,trying...
2019-06-07 18:18:55.941040,6.79,,Connected,trying...
2019-06-07 18:18:55.941040,6.79,,Connected,trying...
2019-06-07 18:18:55.941040,6.79,,Connected,trying...
2019-06-07 18:18:55.941040,6.79,,Connected,trying...
2019-06-07 18:18:55.957675,6.79,,Connected,trying...
2019-06-07 18:18:55.965687,6.79,,Connected,trying...
2019-06-07 18:18:55.965687,6.79,,Connected,trying...
2019-06-07 18:18:55.974191,6.79,,Connected,trying...
2019-06-07 18:18:55.974191,6.79,,Connected,trying...
2019-06-07 18:18:55.974191,6.79,,Connected,trying...
2019-06-07 18:18:55.974191,6.79,,Connected,trying...
2019-06-07 18:18:55.990823,6.79,,Connected,trying...
2019-06-07 18:18:55.990823,6.79,,Connected,trying...
2019-06-07 18:18:55.990823,6.79,,Connected,trying...
2019-06-07 18:18:55.990823,6.79,,Connected,trying...
2019-06-07 18:18:56.007455,6.79,,Connected,trying...
2019-06-07 18:18:56.007455,6.79,,Connected,trying...
2019-06-07 18:18:56.007455,6.79,,Connected,trying...
2019-06-07 18:18:56.024597,6.79,,Connected,trying...
2019-06-07 18:18:56.024597,6.79,,Connected,trying...
2019-06-07 18:18:56.024597,6.79,,Connected,trying...
2019-06-07 18:18:56.024597,6.79,,Connected,trying...
2019-06-07 18:18:56.041230,6.79,,Connected,trying...
2019-06-07 18:18:56.041230,6.79,,Connected,trying...
2019-06-07 18:18:56.041230,6.79,,Connected,trying...
2019-06-07 18:18:56.056854,6.79,,Connected,trying...
2019-06-07 18:18:56.057878,6.79,,Connected,trying...
2019-06-07 18:18:56.065890,6.79,,Connected,trying...
2019-06-07 18:18:56.065890,6.79,,Connected,trying...
2019-06-07 18:18:56.074394,6.79,,Connected,trying...
2019-06-07 18:18:56.074394,6.79,,Connected,trying...
2019-06-07 18:18:56.074394,6.79,,Connected,trying...
2019-06-07 18:18:56.074394,6.79,,Connected,trying...
2019-06-07 18:18:56.091024,6.79,,Connected,trying...
2019-06-07 18:18:56.091024,6.79,,Connected,trying...
2019-06-07 18:18:56.091024,6.79,,Connected,trying...
2019-06-07 18:18:56.106654,6.79,,Connected,trying...
2019-06-07 18:18:56.107660,6.79,,Connected,trying...
2019-06-07 18:18:56.107660,6.79,,Connected,trying...
2019-06-07 18:18:56.107660,6.79,,Connected,trying...
2019-06-07 18:18:56.124290,6.79,,Connected,trying...
2019-06-07 18:18:56.124290,6.79,,Connected,trying...
2019-06-07 18:18:56.124290,6.79,,Connected,trying...
2019-06-07 18:18:56.124290,6.79,,Connected,trying...
2019-06-07 18:18:56.140921,6.79,,Connected,trying...
2019-06-07 18:18:56.140921,6.79,,Connected,trying...
2019-06-07 18:18:56.140921,6.79,,Connected,trying...
2019-06-07 18:18:56.156545,6.79,,Connected,trying...
2019-06-07 18:18:56.157555,6.79,,Connected,trying...
2019-06-07 18:18:56.166063,6.79,,Connected,trying...
2019-06-07 18:18:56.166063,6.79,,Connected,trying...
2019-06-07 18:18:56.174567,6.79,,Connected,trying...
2019-06-07 18:18:56.174567,6.79,,Connected,trying...
2019-06-07 18:18:56.174567,6.79,,Connected,trying...
2019-06-07 18:18:56.174567,6.79,,Connected,trying...
2019-06-07 18:18:56.191198,6.71,,Connected,trying...
2019-06-07 18:18:56.191198,6.71,,Connected,trying...
2019-06-07 18:18:56.191198,6.71,,Connected,trying...
2019-06-07 18:18:56.207829,6.71,,Connected,trying...
2019-06-07 18:18:56.207829,6.71,,Connected,trying...
2019-06-07 18:18:56.207829,6.71,,Connected,trying...
2019-06-07 18:18:56.207829,6.71,,Connected,trying...
2019-06-07 18:18:56.224460,6.71,,Connected,trying...
2019-06-07 18:18:56.224460,6.71,,Connected,trying...
2019-06-07 18:18:56.224460,6.71,,Connected,trying...
2019-06-07 18:18:56.241091,6.71,,Connected,trying...
2019-06-07 18:18:56.241091,6.71,,Connected,trying...
2019-06-07 18:18:56.241091,6.71,,Connected,trying...
2019-06-07 18:18:56.241091,6.71,,Connected,trying...
2019-06-07 18:18:56.257726,6.71,,Connected,trying...
2019-06-07 18:18:56.257726,6.71,,Connected,trying...
2019-06-07 18:18:56.266234,6.71,,Connected,trying...
2019-06-07 18:18:56.266234,6.71,,Connected,trying...
2019-06-07 18:18:56.274241,6.71,,Connected,trying...
2019-06-07 18:18:56.274241,6.71,,Connected,trying...
2019-06-07 18:18:56.274241,6.71,,Connected,trying...
2019-06-07 18:18:56.290872,6.71,,Connected,trying...
2019-06-07 18:18:56.290872,6.71,,Connected,trying...
2019-06-07 18:18:56.290872,6.71,,Connected,trying...
2019-06-07 18:18:56.306496,6.71,,Connected,trying...
2019-06-07 18:18:56.307502,6.71,,Connected,trying...
2019-06-07 18:18:56.307502,6.71,,Connected,trying...
2019-06-07 18:18:56.307502,6.71,,Connected,trying...
2019-06-07 18:18:56.324132,6.71,,Connected,trying...
2019-06-07 18:18:56.324132,6.71,,Connected,trying...
2019-06-07 18:18:56.324132,6.71,,Connected,trying...
2019-06-07 18:18:56.324132,6.71,,Connected,trying...
2019-06-07 18:18:56.341264,6.71,,Connected,trying...
2019-06-07 18:18:56.341264,6.71,,Connected,trying...
2019-06-07 18:18:56.341264,6.71,,Connected,trying...
2019-06-07 18:18:56.357897,6.71,,Connected,trying...
2019-06-07 18:18:56.357897,6.71,,Connected,trying...
2019-06-07 18:18:56.366406,6.71,,Connected,trying...
